#x, Bz, Ey
2.54824e+12, -0.791071, -0.943017
2.57822e+12, -0.821838, -0.961161
2.60819e+12, -0.850625, -0.97699
2.63817e+12, -0.877363, -0.990465
2.66815e+12, -0.901987, -1.00155
2.69813e+12, -0.924438, -1.01023
2.72811e+12, -0.944662, -1.01647
2.75809e+12, -0.96261, -1.02027
2.78807e+12, -0.978239, -1.0216
2.81805e+12, -0.991512, -1.02048
2.84803e+12, -1.0024, -1.01689
2.87801e+12, -1.01086, -1.01086
2.90799e+12, -1.0169, -1.00239
2.93797e+12, -1.02048, -0.991505
2.96795e+12, -1.02161, -0.978232
2.99792e+12, -1.02027, -0.962603
3.0279e+12, -1.01648, -0.944655
3.05788e+12, -1.01024, -0.924431
3.08786e+12, -1.00156, -0.90198
3.11784e+12, -0.990471, -0.877356
3.14782e+12, -0.976996, -0.850619
3.1778e+12, -0.961168, -0.821832
3.20778e+12, -0.943023, -0.791065
3.23776e+12, -0.922607, -0.758393
3.26774e+12, -0.899969, -0.723894
3.29772e+12, -0.875162, -0.68765
3.3277e+12, -0.848247, -0.649751
3.35768e+12, -0.819288, -0.610285
3.38765e+12, -0.788356, -0.56935
3.41763e+12, -0.755524, -0.527043
3.44761e+12, -0.720872, -0.483466
3.47759e+12, -0.684484, -0.438725
3.50757e+12, -0.646447, -0.392926
3.53755e+12, -0.606852, -0.346181
3.56753e+12, -0.565795, -0.298602
3.59751e+12, -0.523375, -0.250304
3.62749e+12, -0.479695, -0.201403
3.65747e+12, -0.434859, -0.152016
3.68745e+12, -0.388975, -0.102264
3.71743e+12, -0.342154, -0.0522645
3.74741e+12, -0.294509, -0.00213948
3.77738e+12, -0.246154, 0.0479907
3.80736e+12, -0.197206, 0.0980052
