#DeltaTime, Location Error, Velocity Error
/InverseX
1.47296e-11, 0.468403, 2.74539e+06
1.46537e-11, 0.465989, 2.73124e+06
1.45785e-11, 0.463599, 2.71724e+06
1.45042e-11, 0.461233, 2.70338e+06
1.44305e-11, 0.458892, 2.68966e+06
1.43577e-11, 0.456574, 2.67607e+06
1.42855e-11, 0.45428, 2.66263e+06
1.42141e-11, 0.452008, 2.64932e+06
1.41434e-11, 0.449759, 2.63614e+06
1.40733e-11, 0.447532, 2.62309e+06
1.4004e-11, 0.445328, 2.61017e+06
1.39354e-11, 0.443145, 2.59738e+06
1.38674e-11, 0.440983, 2.58471e+06
1.38001e-11, 0.438842, 2.57217e+06
1.37334e-11, 0.436722, 2.55974e+06
1.36674e-11, 0.434622, 2.54744e+06
1.3602e-11, 0.432542, 2.53525e+06
1.35372e-11, 0.430482, 2.52318e+06
1.34731e-11, 0.428442, 2.51123e+06
1.34095e-11, 0.426421, 2.49938e+06
1.33465e-11, 0.424419, 2.48765e+06
1.32842e-11, 0.422436, 2.47603e+06
1.32224e-11, 0.420471, 2.46452e+06
1.31612e-11, 0.418524, 2.45311e+06
1.31005e-11, 0.416595, 2.4418e+06
1.30404e-11, 0.414684, 2.43061e+06
1.29809e-11, 0.41279, 2.41951e+06
1.29219e-11, 0.410914, 2.40851e+06
1.28634e-11, 0.409054, 2.39762e+06
1.28055e-11, 0.407212, 2.38682e+06
1.2748e-11, 0.405385, 2.37612e+06
1.26911e-11, 0.403576, 2.36551e+06
1.26347e-11, 0.401782, 2.355e+06
1.25788e-11, 0.400004, 2.34458e+06
1.25234e-11, 0.398242, 2.33425e+06
1.24685e-11, 0.396495, 2.32402e+06
1.2414e-11, 0.394763, 2.31387e+06
1.23601e-11, 0.393047, 2.30381e+06
1.23066e-11, 0.391345, 2.29384e+06
1.22535e-11, 0.389658, 2.28395e+06
1.22009e-11, 0.387986, 2.27415e+06
1.21488e-11, 0.386328, 2.26444e+06
1.20971e-11, 0.384684, 2.2548e+06
1.20458e-11, 0.383054, 2.24525e+06
1.1995e-11, 0.381437, 2.23578e+06
1.19446e-11, 0.379834, 2.22639e+06
1.18946e-11, 0.378245, 2.21707e+06
1.18451e-11, 0.376669, 2.20784e+06
1.17959e-11, 0.375106, 2.19868e+06
1.17472e-11, 0.373556, 2.18959e+06
1.16988e-11, 0.372018, 2.18058e+06
1.16509e-11, 0.370494, 2.17165e+06
1.16033e-11, 0.368981, 2.16278e+06
1.15562e-11, 0.367481, 2.15399e+06
1.15094e-11, 0.365994, 2.14527e+06
1.1463e-11, 0.364518, 2.13663e+06
1.14169e-11, 0.363054, 2.12805e+06
1.13713e-11, 0.361601, 2.11953e+06
1.1326e-11, 0.360161, 2.11109e+06
1.1281e-11, 0.358731, 2.10272e+06
1.12364e-11, 0.357313, 2.09441e+06
1.11922e-11, 0.355907, 2.08616e+06
1.11483e-11, 0.354511, 2.07798e+06
1.11047e-11, 0.353126, 2.06987e+06
1.10615e-11, 0.351752, 2.06181e+06
1.10187e-11, 0.350388, 2.05382e+06
1.09761e-11, 0.349035, 2.04589e+06
1.09339e-11, 0.347693, 2.03803e+06
1.0892e-11, 0.346361, 2.03022e+06
1.08504e-11, 0.345039, 2.02247e+06
1.08092e-11, 0.343727, 2.01478e+06
1.07682e-11, 0.342425, 2.00715e+06
1.07276e-11, 0.341132, 1.99958e+06
1.06873e-11, 0.33985, 1.99206e+06
1.06472e-11, 0.338577, 1.9846e+06
1.06075e-11, 0.337313, 1.9772e+06
1.05681e-11, 0.336059, 1.96985e+06
1.05289e-11, 0.334815, 1.96255e+06
1.04901e-11, 0.333579, 1.95531e+06
1.04515e-11, 0.332353, 1.94813e+06
1.04132e-11, 0.331135, 1.94099e+06
1.03752e-11, 0.329927, 1.93391e+06
1.03375e-11, 0.328727, 1.92688e+06
1.03001e-11, 0.327536, 1.9199e+06
1.02629e-11, 0.326353, 1.91297e+06
1.0226e-11, 0.325179, 1.90609e+06
1.01893e-11, 0.324014, 1.89925e+06
1.01529e-11, 0.322856, 1.89247e+06
1.01168e-11, 0.321707, 1.88574e+06
1.00809e-11, 0.320567, 1.87905e+06
1.00453e-11, 0.319434, 1.87241e+06
1.00099e-11, 0.318309, 1.86582e+06
9.97479e-12, 0.317192, 1.85928e+06
9.93991e-12, 0.316083, 1.85278e+06
9.90528e-12, 0.314981, 1.84632e+06
9.87088e-12, 0.313888, 1.83991e+06
9.83673e-12, 0.312802, 1.83354e+06
9.80281e-12, 0.311723, 1.82722e+06
9.76912e-12, 0.310652, 1.82094e+06
9.73567e-12, 0.309588, 1.81471e+06
9.70244e-12, 0.308531, 1.80852e+06
9.66944e-12, 0.307482, 1.80237e+06
9.63666e-12, 0.306439, 1.79626e+06
9.6041e-12, 0.305404, 1.79019e+06
9.57177e-12, 0.304376, 1.78416e+06
9.53965e-12, 0.303354, 1.77818e+06
9.50774e-12, 0.302339, 1.77223e+06
9.47605e-12, 0.301332, 1.76632e+06
9.44457e-12, 0.30033, 1.76046e+06
9.41329e-12, 0.299336, 1.75463e+06
9.38223e-12, 0.298348, 1.74884e+06
9.35136e-12, 0.297367, 1.74308e+06
9.3207e-12, 0.296392, 1.73737e+06
9.29024e-12, 0.295423, 1.73169e+06
9.25998e-12, 0.294461, 1.72605e+06
9.22992e-12, 0.293504, 1.72045e+06
9.20005e-12, 0.292555, 1.71488e+06
9.17037e-12, 0.291611, 1.70935e+06
9.14088e-12, 0.290673, 1.70386e+06
9.11159e-12, 0.289741, 1.6984e+06
9.08248e-12, 0.288816, 1.69297e+06
9.05355e-12, 0.287896, 1.68758e+06
9.02481e-12, 0.286982, 1.68222e+06
8.99625e-12, 0.286074, 1.6769e+06
8.96787e-12, 0.285171, 1.67161e+06
8.93967e-12, 0.284274, 1.66635e+06
8.91165e-12, 0.283383, 1.66113e+06
8.8838e-12, 0.282498, 1.65594e+06
8.85612e-12, 0.281617, 1.65078e+06
8.82862e-12, 0.280743, 1.64566e+06
8.80128e-12, 0.279874, 1.64056e+06
8.77412e-12, 0.27901, 1.6355e+06
8.74712e-12, 0.278151, 1.63047e+06
8.72029e-12, 0.277298, 1.62547e+06
8.69362e-12, 0.27645, 1.6205e+06
8.66712e-12, 0.275607, 1.61556e+06
8.64077e-12, 0.274769, 1.61065e+06
8.61459e-12, 0.273937, 1.60577e+06
8.58856e-12, 0.273109, 1.60092e+06
8.5627e-12, 0.272286, 1.59609e+06
8.53698e-12, 0.271469, 1.5913e+06
8.51142e-12, 0.270656, 1.58654e+06
8.48601e-12, 0.269848, 1.5818e+06
8.46076e-12, 0.269045, 1.5771e+06
8.43565e-12, 0.268246, 1.57242e+06
8.41069e-12, 0.267453, 1.56776e+06
8.38588e-12, 0.266664, 1.56314e+06
8.36122e-12, 0.265879, 1.55854e+06
8.3367e-12, 0.2651, 1.55397e+06
8.31232e-12, 0.264324, 1.54943e+06
8.28809e-12, 0.263554, 1.54491e+06
8.264e-12, 0.262788, 1.54042e+06
8.24004e-12, 0.262026, 1.53596e+06
8.21623e-12, 0.261269, 1.53152e+06
8.19255e-12, 0.260516, 1.52711e+06
8.16901e-12, 0.259767, 1.52272e+06
8.1456e-12, 0.259023, 1.51836e+06
8.12233e-12, 0.258283, 1.51402e+06
8.09919e-12, 0.257547, 1.50971e+06
8.07618e-12, 0.256815, 1.50542e+06
8.0533e-12, 0.256087, 1.50115e+06
8.03055e-12, 0.255364, 1.49691e+06
8.00793e-12, 0.254645, 1.4927e+06
7.98543e-12, 0.253929, 1.4885e+06
7.96307e-12, 0.253218, 1.48433e+06
7.94082e-12, 0.252511, 1.48019e+06
7.9187e-12, 0.251807, 1.47607e+06
7.89671e-12, 0.251108, 1.47197e+06
7.87483e-12, 0.250412, 1.46789e+06
7.85308e-12, 0.24972, 1.46384e+06
7.83145e-12, 0.249032, 1.4598e+06
7.80993e-12, 0.248348, 1.45579e+06
7.78853e-12, 0.247668, 1.4518e+06
7.76725e-12, 0.246991, 1.44784e+06
7.74609e-12, 0.246318, 1.44389e+06
7.72504e-12, 0.245649, 1.43997e+06
7.70411e-12, 0.244983, 1.43607e+06
7.68328e-12, 0.244321, 1.43219e+06
7.66257e-12, 0.243662, 1.42833e+06
7.64198e-12, 0.243007, 1.42449e+06
7.62149e-12, 0.242356, 1.42067e+06
7.60111e-12, 0.241708, 1.41687e+06
7.58084e-12, 0.241063, 1.41309e+06
7.56068e-12, 0.240422, 1.40934e+06
7.54062e-12, 0.239784, 1.4056e+06
7.52067e-12, 0.23915, 1.40188e+06
7.50083e-12, 0.238519, 1.39818e+06
7.48109e-12, 0.237891, 1.3945e+06
7.46146e-12, 0.237267, 1.39084e+06
7.44192e-12, 0.236645, 1.3872e+06
7.42249e-12, 0.236028, 1.38358e+06
