#DeltaTime, Location Error, Velocity Error
/InverseX
5.95978e-12, 0.189513, 1.11095e+06
5.94731e-12, 0.189117, 1.10862e+06
5.9349e-12, 0.188722, 1.10631e+06
5.92253e-12, 0.188329, 1.104e+06
5.91022e-12, 0.187937, 1.10171e+06
5.89796e-12, 0.187547, 1.09942e+06
5.88574e-12, 0.187159, 1.09715e+06
5.87358e-12, 0.186772, 1.09488e+06
5.86147e-12, 0.186387, 1.09262e+06
5.84941e-12, 0.186004, 1.09038e+06
5.8374e-12, 0.185622, 1.08814e+06
5.82544e-12, 0.185241, 1.08591e+06
5.81353e-12, 0.184863, 1.08369e+06
5.80166e-12, 0.184485, 1.08147e+06
5.78985e-12, 0.18411, 1.07927e+06
5.77808e-12, 0.183735, 1.07708e+06
5.76636e-12, 0.183363, 1.07489e+06
5.75469e-12, 0.182992, 1.07272e+06
5.74306e-12, 0.182622, 1.07055e+06
5.73148e-12, 0.182254, 1.06839e+06
5.71995e-12, 0.181887, 1.06624e+06
5.70846e-12, 0.181522, 1.0641e+06
5.69702e-12, 0.181158, 1.06197e+06
