#DeltaTime, Location Error, Velocity Error
/InverseX
2.62011e-12, 0.0833147, 488428
2.60809e-12, 0.0829325, 486188
2.59618e-12, 0.0825538, 483968
2.58438e-12, 0.0821785, 481768
2.57268e-12, 0.0818067, 479588
2.56109e-12, 0.0814382, 477428
2.54961e-12, 0.081073, 475287
2.53823e-12, 0.080711, 473166
2.52695e-12, 0.0803523, 471063
2.51577e-12, 0.0799968, 468978
2.50468e-12, 0.0796444, 466913
2.4937e-12, 0.079295, 464865
2.48281e-12, 0.0789488, 462835
2.47201e-12, 0.0786055, 460823
2.46131e-12, 0.0782652, 458828
2.4507e-12, 0.0779279, 456850
2.44018e-12, 0.0775934, 454889
2.42976e-12, 0.0772618, 452945
2.41942e-12, 0.076933, 451018
2.40917e-12, 0.076607, 449107
2.399e-12, 0.0762838, 447212
2.38892e-12, 0.0759633, 445333
2.37892e-12, 0.0756454, 443470
2.36901e-12, 0.0753302, 441622
2.35918e-12, 0.0750177, 439790
2.34943e-12, 0.0747077, 437973
2.33977e-12, 0.0744002, 436170
2.33018e-12, 0.0740953, 434383
2.32067e-12, 0.0737929, 432610
2.31123e-12, 0.0734929, 430851
2.30187e-12, 0.0731954, 429107
2.29259e-12, 0.0729002, 427377
2.28339e-12, 0.0726074, 425660
2.27425e-12, 0.072317, 423958
2.26519e-12, 0.0720289, 422269
2.2562e-12, 0.0717431, 420593
2.24728e-12, 0.0714595, 418931
2.23844e-12, 0.0711781, 417282
2.22966e-12, 0.070899, 415645
2.22095e-12, 0.0706221, 414022
2.21231e-12, 0.0703473, 412411
2.20373e-12, 0.0700746, 410812
2.19522e-12, 0.069804, 409226
2.18678e-12, 0.0695356, 407652
2.1784e-12, 0.0692691, 406090
2.17009e-12, 0.0690047, 404540
2.16184e-12, 0.0687424, 403002
2.15365e-12, 0.068482, 401476
2.14552e-12, 0.0682235, 399961
2.13745e-12, 0.0679671, 398457
2.12945e-12, 0.0677125, 396965
2.1215e-12, 0.0674598, 395484
2.11362e-12, 0.0672091, 394014
2.10579e-12, 0.0669601, 392554
2.09802e-12, 0.066713, 391106
2.09031e-12, 0.0664678, 389668
2.08265e-12, 0.0662243, 388241
2.07505e-12, 0.0659826, 386824
2.0675e-12, 0.0657427, 385417
2.06001e-12, 0.0655045, 384021
2.05257e-12, 0.065268, 382635
2.04519e-12, 0.0650332, 381258
2.03786e-12, 0.0648001, 379892
2.03058e-12, 0.0645687, 378535
2.02336e-12, 0.0643389, 377188
2.01618e-12, 0.0641107, 375850
