#DeltaTime, Location Error, Velocity Error
/InverseX
2.17828e-13, 4.78227e-06, 4205.36
2.16771e-13, 4.75905e-06, 4184.95
2.15724e-13, 4.73606e-06, 4164.74
2.14687e-13, 4.7133e-06, 4144.71
2.13659e-13, 4.69075e-06, 4124.89
2.12642e-13, 4.66841e-06, 4105.25
2.11634e-13, 4.64629e-06, 4085.79
2.10636e-13, 4.62437e-06, 4066.52
2.09647e-13, 4.60266e-06, 4047.43
2.08667e-13, 4.58115e-06, 4028.52
2.07697e-13, 4.55985e-06, 4009.78
2.06735e-13, 4.53874e-06, 3991.22
2.05783e-13, 4.51782e-06, 3972.83
2.04839e-13, 4.4971e-06, 3954.61
2.03903e-13, 4.47657e-06, 3936.55
2.02977e-13, 4.45622e-06, 3918.66
2.02058e-13, 4.43606e-06, 3900.93
2.01148e-13, 4.41607e-06, 3883.36
2.00246e-13, 4.39627e-06, 3865.95
1.99352e-13, 4.37665e-06, 3848.69
1.98466e-13, 4.3572e-06, 3831.59
1.97588e-13, 4.33792e-06, 3814.63
1.96717e-13, 4.31881e-06, 3797.83
1.95855e-13, 4.29987e-06, 3781.18
1.94999e-13, 4.28109e-06, 3764.67
1.94151e-13, 4.26248e-06, 3748.3
1.93311e-13, 4.24403e-06, 3732.07
1.92478e-13, 4.22574e-06, 3715.99
1.91652e-13, 4.2076e-06, 3700.04
1.90833e-13, 4.18962e-06, 3684.23
1.90021e-13, 4.17179e-06, 3668.56
1.89215e-13, 4.15412e-06, 3653.01
1.88417e-13, 4.13659e-06, 3637.6
1.87625e-13, 4.11921e-06, 3622.32
1.8684e-13, 4.10197e-06, 3607.16
1.86062e-13, 4.08488e-06, 3592.13
1.8529e-13, 4.06793e-06, 3577.23
1.84524e-13, 4.05113e-06, 3562.45
1.83765e-13, 4.03445e-06, 3547.79
1.83012e-13, 4.01792e-06, 3533.25
1.82265e-13, 4.00152e-06, 3518.83
1.81524e-13, 3.98526e-06, 3504.53
1.80789e-13, 3.96912e-06, 3490.34
1.8006e-13, 3.95312e-06, 3476.27
1.79337e-13, 3.93724e-06, 3462.31
1.78619e-13, 3.92149e-06, 3448.46
1.77908e-13, 3.90587e-06, 3434.72
1.77202e-13, 3.89037e-06, 3421.09
1.76501e-13, 3.875e-06, 3407.57
1.75806e-13, 3.85974e-06, 3394.16
1.75117e-13, 3.84461e-06, 3380.85
1.74433e-13, 3.82959e-06, 3367.64
1.73754e-13, 3.81469e-06, 3354.54
1.73081e-13, 3.7999e-06, 3341.54
1.72412e-13, 3.78523e-06, 3328.64
1.71749e-13, 3.77067e-06, 3315.84
1.71091e-13, 3.75623e-06, 3303.13
1.70438e-13, 3.74189e-06, 3290.53
1.6979e-13, 3.72766e-06, 3278.02
1.69147e-13, 3.71354e-06, 3265.6
1.68509e-13, 3.69953e-06, 3253.28
1.67875e-13, 3.68562e-06, 3241.05
1.67247e-13, 3.67182e-06, 3228.91
1.66623e-13, 3.65812e-06, 3216.86
1.66003e-13, 3.64452e-06, 3204.91
1.65388e-13, 3.63102e-06, 3193.04
1.64778e-13, 3.61763e-06, 3181.26
1.64172e-13, 3.60433e-06, 3169.56
1.63571e-13, 3.59112e-06, 3157.95
1.62974e-13, 3.57802e-06, 3146.43
1.62381e-13, 3.56501e-06, 3134.99
1.61793e-13, 3.55209e-06, 3123.63
1.61209e-13, 3.53927e-06, 3112.35
1.60629e-13, 3.52654e-06, 3101.16
1.60053e-13, 3.5139e-06, 3090.04
1.59482e-13, 3.50135e-06, 3079.01
1.58914e-13, 3.48889e-06, 3068.05
1.5835e-13, 3.47652e-06, 3057.17
1.57791e-13, 3.46423e-06, 3046.37
